Date,Open,High,Low,Close,Adj Close,Volume
2022-01-26,0.158065,0.158456,0.158065,0.158065,0.158065,0
2022-01-27,0.158238,0.158240,0.157040,0.158238,0.158238,0
2022-01-28,0.157062,0.157557,0.157062,0.157062,0.157062,0
2022-01-31,0.157233,0.157245,0.157233,0.157456,0.157456,0
2022-02-01,0.157245,0.157245,0.157233,0.157245,0.157245,0
2022-02-02,0.157245,0.157245,0.157245,0.157245,0.157245,0
2022-02-03,0.157245,0.157245,0.157233,0.157245,0.157245,0
2022-02-04,0.157245,0.157245,0.157245,0.157245,0.157245,0
2022-02-07,0.157935,0.157935,0.157436,0.157245,0.157245,0
2022-02-08,0.157423,0.157510,0.156974,0.157423,0.157423,0
2022-02-09,0.157092,0.157456,0.157092,0.157092,0.157092,0
2022-02-10,0.157198,0.157627,0.157186,0.157198,0.157198,0
2022-02-11,0.157416,0.157617,0.157117,0.157416,0.157416,0
2022-02-14,0.157391,0.157594,0.157183,0.157403,0.157403,0
2022-02-15,0.157334,0.158013,0.157317,0.157334,0.157334,0
2022-02-16,0.157778,0.157898,0.157716,0.157778,0.157778,0
2022-02-17,0.157838,0.158200,0.157773,0.157838,0.157838,0
2022-02-18,0.157833,0.158326,0.157793,0.157833,0.157833,0
2022-02-21,0.158113,0.158203,0.157841,0.158123,0.158123,0
2022-02-22,0.157873,0.158378,0.157478,0.157873,0.157873,0
2022-02-23,0.158095,0.158632,0.157978,0.158095,0.158095,0
2022-02-24,0.158421,0.158599,0.157983,0.158421,0.158421,0
2022-02-25,0.158058,0.158632,0.158058,0.158058,0.158058,0
2022-02-28,0.158316,0.158750,0.158275,0.158328,0.158328,0
2022-03-01,0.158519,0.158695,0.158391,0.158519,0.158519,0
2022-03-02,0.158441,0.158672,0.158190,0.158441,0.158441,0
2022-03-03,0.158238,0.158534,0.158225,0.158238,0.158238,0
2022-03-04,0.158245,0.158587,0.158213,0.158248,0.158248,0
2022-03-07,0.158253,0.158501,0.158113,0.158311,0.158311,0
2022-03-08,0.158245,0.158634,0.158225,0.158245,0.158245,0
2022-03-09,0.158288,0.158612,0.158098,0.158288,0.158288,0
2022-03-10,0.158313,0.158519,0.158145,0.158313,0.158313,0
2022-03-11,0.158208,0.158448,0.157759,0.158208,0.158208,0
2022-03-14,0.157761,0.157761,0.157122,0.157761,0.157761,0
2022-03-15,0.157119,0.157126,0.156654,0.157122,0.157122,0
2022-03-16,0.157008,0.157764,0.156988,0.157008,0.157008,0
2022-03-17,0.157451,0.157826,0.157441,0.157451,0.157451,0
2022-03-18,0.157592,0.157592,0.157087,0.157592,0.157592,0
2022-03-21,0.157228,0.157644,0.157104,0.157228,0.157228,0
2022-03-22,0.157369,0.157483,0.157092,0.157369,0.157369,0
2022-03-23,0.157102,0.157270,0.156853,0.157102,0.157102,0
2022-03-24,0.156954,0.157243,0.156828,0.156954,0.156954,0
2022-03-25,0.157077,0.157446,0.157057,0.157077,0.157077,0
2022-03-28,0.157104,0.157255,0.156735,0.157104,0.157104,0
2022-03-29,0.156969,0.157376,0.156927,0.156969,0.156969,0
2022-03-30,0.157156,0.157724,0.157154,0.157156,0.157156,0
2022-03-31,0.157575,0.157898,0.157416,0.157575,0.157575,0
2022-04-01,0.157756,0.157756,0.157151,0.157756,0.157756,0
2022-04-04,0.157181,0.157183,0.157171,0.157181,0.157181,0
2022-04-05,0.157173,0.157183,0.157164,0.157173,0.157173,0
2022-04-06,0.157156,0.157416,0.156870,0.157156,0.157156,0
2022-04-07,0.157270,0.157460,0.157151,0.157270,0.157270,0
2022-04-08,0.157240,0.157498,0.157085,0.157240,0.157240,0
2022-04-11,0.157134,0.157235,0.156885,0.157134,0.157134,0
2022-04-12,0.157018,0.157304,0.156910,0.157018,0.157018,0
2022-04-13,0.157109,0.157322,0.156993,0.157109,0.157109,0
2022-04-14,0.157055,0.157324,0.156755,0.157055,0.157055,0
2022-04-15,0.156804,0.157038,0.156804,0.156804,0.156804,0
2022-04-18,0.156981,0.157149,0.156895,0.156981,0.156981,0
2022-04-19,0.157080,0.157085,0.156362,0.157080,0.157080,0
2022-04-20,0.156436,0.156446,0.155807,0.156436,0.156436,0
2022-04-21,0.155819,0.156053,0.155022,0.155819,0.155819,0
2022-04-22,0.155056,0.155106,0.153711,0.155056,0.155056,0
2022-04-25,0.153839,0.153841,0.152061,0.153839,0.153839,0
2022-04-26,0.152488,0.153332,0.152448,0.152488,0.152488,0
2022-04-27,0.152525,0.152882,0.152390,0.152525,0.152525,0
2022-04-28,0.152451,0.152451,0.150841,0.152451,0.152451,0
2022-04-29,0.150937,0.151962,0.150394,0.150937,0.150937,0
2022-05-02,0.151343,0.151357,0.151339,0.151343,0.151343,0
2022-05-03,0.151343,0.151357,0.151334,0.151343,0.151343,0
2022-05-04,0.151345,0.151348,0.151343,0.151345,0.151345,0
2022-05-05,0.151343,0.151630,0.150270,0.151343,0.151343,0
2022-05-06,0.150272,0.150274,0.149390,0.150272,0.150272,0
2022-05-09,0.150024,0.150026,0.148591,0.150024,0.150024,0
2022-05-10,0.148593,0.149468,0.148386,0.148593,0.148593,0
2022-05-11,0.148509,0.149042,0.148476,0.148509,0.148509,0
2022-05-12,0.148794,0.148836,0.147165,0.148794,0.148794,0
2022-05-13,0.147364,0.147726,0.146830,0.147364,0.147364,0
2022-05-16,0.147319,0.147473,0.147026,0.147319,0.147319,0
2022-05-17,0.147382,0.148898,0.147380,0.147382,0.147382,0
2022-05-18,0.148452,0.148544,0.148006,0.148452,0.148452,0
2022-05-19,0.148074,0.149000,0.147767,0.148074,0.148074,0
2022-05-20,0.148985,0.150019,0.148577,0.148985,0.148985,0
2022-05-23,0.149432,0.150476,0.149430,0.149432,0.149432,0
2022-05-24,0.150380,0.150394,0.149727,0.150380,0.150380,0
2022-05-25,0.150308,0.150315,0.149327,0.150308,0.150308,0
2022-05-26,0.149439,0.149463,0.148192,0.149439,0.149439,0
2022-05-27,0.148416,0.149526,0.148223,0.148416,0.148416,0
2022-05-30,0.149307,0.150485,0.149256,0.149307,0.149307,0
2022-05-31,0.150143,0.150496,0.149835,0.150143,0.150143,0
2022-06-01,0.149887,0.150044,0.149303,0.149887,0.149887,0
2022-06-02,0.149584,0.150170,0.149145,0.149584,0.149584,0
2022-06-03,0.150168,0.150168,0.150159,0.150168,0.150168,0
2022-06-06,0.150166,0.150780,0.150166,0.150166,0.150166,0
2022-06-07,0.150310,0.150313,0.149745,0.150310,0.150310,0
2022-06-08,0.149932,0.150110,0.149376,0.149932,0.149932,0
2022-06-09,0.149640,0.150060,0.149309,0.149640,0.149640,0
2022-06-10,0.149459,0.149745,0.148892,0.149459,0.149459,0
2022-06-13,0.149078,0.149085,0.147968,0.149078,0.149078,0
2022-06-14,0.148071,0.148974,0.147927,0.148071,0.148071,0
2022-06-15,0.148379,0.149160,0.148368,0.148379,0.148379,0
2022-06-16,0.148980,0.149450,0.148889,0.148980,0.148980,0
2022-06-17,0.149178,0.149484,0.148876,0.149178,0.149178,0
2022-06-20,0.148905,0.149864,0.148905,0.148905,0.148905,0
2022-06-21,0.149446,0.149903,0.149260,0.149446,0.149446,0
2022-06-22,0.149513,0.149522,0.148699,0.149513,0.149513,0
2022-06-23,0.149229,0.149504,0.148956,0.149229,0.149229,0
2022-06-24,0.149314,0.149705,0.149289,0.149314,0.149314,0
2022-06-27,0.149504,0.149781,0.149417,0.149504,0.149504,0
2022-06-28,0.149461,0.149828,0.149020,0.149461,0.149461,0
2022-06-29,0.149091,0.149676,0.149076,0.149091,0.149091,0
2022-06-30,0.149258,0.149602,0.149176,0.149258,0.149258,0
2022-07-01,0.149294,0.149394,0.148907,0.149294,0.149294,0
2022-07-04,0.149243,0.149674,0.149236,0.149243,0.149243,0
2022-07-05,0.149285,0.149620,0.148759,0.149285,0.149285,0
2022-07-06,0.148836,0.149325,0.148834,0.148836,0.148836,0
2022-07-07,0.149109,0.149490,0.148989,0.149109,0.149109,0
2022-07-08,0.149243,0.149425,0.149107,0.149243,0.149243,0
2022-07-11,0.149381,0.149383,0.148849,0.149381,0.149381,0
2022-07-12,0.148872,0.148925,0.148449,0.148872,0.148872,0
2022-07-13,0.148736,0.149060,0.148434,0.148736,0.148736,0
2022-07-14,0.148863,0.148883,0.147789,0.148863,0.148863,0
2022-07-15,0.148034,0.148381,0.147765,0.148034,0.148034,0
2022-07-18,0.148006,0.148566,0.148006,0.148006,0.148006,0
2022-07-19,0.148317,0.148432,0.148100,0.148317,0.148317,0
2022-07-20,0.148287,0.148469,0.148043,0.148287,0.148287,0
2022-07-21,0.148041,0.148131,0.147713,0.148041,0.148041,0
2022-07-22,0.147807,0.148346,0.147708,0.147807,0.147807,0
2022-07-25,0.148137,0.148381,0.148001,0.148137,0.148137,0
2022-07-26,0.148159,0.148471,0.147837,0.148159,0.148159,0
2022-07-27,0.147879,0.148335,0.147761,0.147879,0.147879,0
2022-07-28,0.147986,0.148487,0.147977,0.147986,0.147986,0
2022-07-29,0.148240,0.148644,0.148131,0.148240,0.148240,0
2022-08-01,0.148298,0.148326,0.147641,0.148298,0.148298,0
2022-08-02,0.147761,0.148183,0.147473,0.147761,0.147761,0
2022-08-03,0.148109,0.148302,0.147986,0.148109,0.148109,0
2022-08-04,0.147995,0.148357,0.147977,0.147995,0.147995,0
2022-08-05,0.148196,0.148551,0.147896,0.148196,0.148196,0
2022-08-08,0.147909,0.148168,0.147846,0.147909,0.147909,0
2022-08-09,0.148150,0.148247,0.147990,0.148150,0.148150,0
2022-08-10,0.148111,0.148759,0.147951,0.148111,0.148111,0
2022-08-11,0.148748,0.148750,0.148287,0.148748,0.148748,0
2022-08-12,0.148289,0.148683,0.148249,0.148289,0.148289,0
2022-08-15,0.148328,0.148335,0.147643,0.148328,0.148328,0
2022-08-16,0.147667,0.147667,0.147139,0.147667,0.147667,0
2022-08-17,0.147332,0.147887,0.147332,0.147332,0.147332,0
2022-08-18,0.147495,0.147586,0.147165,0.147495,0.147495,0
2022-08-19,0.147393,0.147393,0.146675,0.147393,0.147393,0
2022-08-22,0.146720,0.146722,0.145994,0.146720,0.146720,0
2022-08-23,0.146030,0.146368,0.145675,0.146030,0.146030,0
2022-08-24,0.146336,0.146336,0.145605,0.146336,0.146336,0
2022-08-25,0.145804,0.146214,0.145802,0.145804,0.145804,0
2022-08-26,0.146022,0.146071,0.145527,0.146022,0.146022,0
2022-08-29,0.145543,0.145546,0.144479,0.145543,0.145543,0
2022-08-30,0.144781,0.145085,0.144500,0.144781,0.144781,0
2022-08-31,0.144701,0.145357,0.144632,0.144701,0.144701,0
2022-09-01,0.145161,0.145161,0.144781,0.145161,0.145161,0
2022-09-02,0.144812,0.145121,0.144758,0.144812,0.144812,0
2022-09-05,0.144949,0.144951,0.144047,0.144949,0.144949,0
2022-09-06,0.144236,0.144321,0.143589,0.144236,0.144236,0
2022-09-07,0.143821,0.143825,0.143295,0.143821,0.143821,0
2022-09-08,0.143569,0.143943,0.143517,0.143569,0.143569,0
2022-09-09,0.143750,0.144745,0.143748,0.143750,0.143750,0
2022-09-12,0.144394,0.144404,0.144394,0.144394,0.144394,0
2022-09-13,0.144404,0.144697,0.144265,0.144404,0.144404,0
2022-09-14,0.144423,0.144436,0.143466,0.144423,0.144423,0
2022-09-15,0.143658,0.143755,0.142957,0.143658,0.143658,0
2022-09-16,0.143000,0.143211,0.142359,0.143000,0.143000,0
2022-09-19,0.143287,0.143291,0.142462,0.143287,0.143287,0
2022-09-20,0.142743,0.142931,0.142448,0.142743,0.142743,0
2022-09-21,0.142507,0.142507,0.141780,0.142507,0.142507,0
2022-09-22,0.141886,0.141886,0.140956,0.141886,0.141886,0
2022-09-23,0.141311,0.141311,0.140304,0.141311,0.141311,0
2022-09-26,0.140304,0.140306,0.139538,0.140304,0.140304,0
2022-09-27,0.139899,0.140072,0.139326,0.139899,0.139899,0
2022-09-28,0.139338,0.139346,0.137941,0.139338,0.139338,0
2022-09-29,0.138908,0.140544,0.138700,0.138908,0.138908,0
2022-09-30,0.140373,0.141181,0.140190,0.140373,0.140373,0
2022-10-03,0.140548,0.140550,0.140546,0.140548,0.140548,0
2022-10-04,0.140550,0.140550,0.140548,0.140550,0.140550,0
2022-10-05,0.140548,0.140548,0.140546,0.140548,0.140548,0
2022-10-06,0.140548,0.140548,0.140546,0.140548,0.140548,0
2022-10-07,0.140548,0.140550,0.140542,0.140548,0.140548,0
