,distributions,SSE,AIC,BIC,params
89,semicircular,6225.916276435981,inf,1652.7493274252229,"(1.27193077776269, 4.5872096946625954e-30)"
90,anglit,6225.916276435981,inf,1652.7493274252229,"(0.9662984956815266, 1.7622264713064573e-27)"
91,rdist,6225.916276435981,inf,1659.4314360226729,"(1.305344436476751, 1.0234965709068344, 2.4276479192407225e-29)"
92,cosine,6225.916276435981,inf,1652.7493274252229,"(4.561119600886282, 4.405566178266143e-28)"
93,vonmises_line,6225.916276435981,inf,1659.4314360226729,"(1.3053444427492158, 3.608440215653446, 1.5088538419122346e-30)"
94,gamma,6300.3853620758655,-76.31387120594214,1668.919796143116,"(0.37656150218523665, -0.13062888051408442, 1.9819486989839497)"
95,erlang,6317.819192805907,-76.46099645963784,1671.1248968314992,"(0.37423170524720256, -0.13062888051408442, 1.9841859862283888)"
96,ncf,6470.120318771691,-164.3566803700294,1703.4979692403413,"(1.2539316243168814, 2.594815753960335, 6.833481808497724e-08, -0.13063152188830668, 0.12935615593538227)"
97,truncnorm,22337.277163539093,inf,2685.587496079491,"(0.35492437528952936, 2.3719440529409503, 0.002455505287756827, 0.008643894380125496)"
98,reciprocal,32522.180513016883,inf,2985.3685086868786,"(0.29742657066113454, 2.4594945380422715, 0.0023938464395199524, 0.00836126835598223)"
99,loguniform,32522.180513016883,inf,2985.3685086868786,"(0.29742657066113454, 2.4594945380422715, 0.0023938464395199524, 0.00836126835598223)"
